Observation id,D2_S3,,,,,,,,
,,,,,,,,,
Media file(s),,,,,,,,,
,,,,,,,,,
Player #1,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,,,,,,,,
,,,,,,,,,
Observation date,7/31/19 10:00,,,,,,,,
,,,,,,,,,
Description,,,,,,,,,
,,,,,,,,,
Time offset (s),0,,,,,,,,
,,,,,,,,,
independent variables,,,,,,,,,
variable,value,,,,,,,,
visitors,YES,,,,,,,,
,,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status,Music
1310.496,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,standing on one leg,BEHAVIOR,,STOP,NO
1311.995,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,standing on one leg,BEHAVIOR,,START,NO
1370.498,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,standing on one leg,BEHAVIOR,,STOP,NO
1372.242,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,standing on one leg,BEHAVIOR,,START,NO
1441.156,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,standing on one leg,BEHAVIOR,,STOP,NO
1441.407,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,pruning,BEHAVIOR,,START,NO
1444.157,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,pruning,BEHAVIOR,,STOP,NO
1444.657,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,standing on one leg,BEHAVIOR,,START,NO
1446.66,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,standing on one leg,BEHAVIOR,,STOP,NO
1446.913,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,pruning,BEHAVIOR,,START,NO
1450.914,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,pruning,BEHAVIOR,,STOP,NO
1451.412,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,standing on one leg,BEHAVIOR,,START,NO
1454.17,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,standing on one leg,BEHAVIOR,,STOP,NO
1456.673,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,vocalization,EVENT,,START,NO
1457.174,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,vocalization,EVENT,,STOP,NO
1457.425,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,standing on one leg,BEHAVIOR,,START,NO
1501.432,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,standing on one leg,BEHAVIOR,,STOP,NO
1523.931,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,standing on one leg,BEHAVIOR,,START,NO
1586.298,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,standing on one leg,BEHAVIOR,,STOP,NO
1586.797,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,standing on one leg,BEHAVIOR,,START,NO
1615.798,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,standing on one leg,BEHAVIOR,,STOP,NO
1616.802,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,moving,EVENT,,START,NO
1622.299,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,moving,EVENT,,STOP,NO
1624.298,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,standing on one leg,BEHAVIOR,,START,NO
1630.295,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,standing on one leg,BEHAVIOR,,STOP,NO
1630.394,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,moving,EVENT,,START,NO
1633.649,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,moving,EVENT,,STOP,NO
1634.4,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,standing on one leg,BEHAVIOR,,START,NO
1653.15,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,standing on one leg,BEHAVIOR,,STOP,NO
1653.404,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,moving,EVENT,,START,NO
1654.92,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,moving,EVENT,,STOP,NO
1655.919,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,standing on one leg,BEHAVIOR,,START,NO
1668.918,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,standing on one leg,BEHAVIOR,,STOP,NO
1669.435,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,head whips,EVENT,,START,NO
1670.685,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,head whips,EVENT,,STOP,NO
1670.941,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,moving,EVENT,,START,NO
1672.188,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,music,MUSIC,,START,YES
1673.938,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,moving,EVENT,,STOP,YES
1675.188,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,head whips,EVENT,,START,YES
1678.693,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,head whips,EVENT,,STOP,YES
1687.943,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,music,MUSIC,,STOP,YES
1689.942,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,moving,EVENT,,START,NO
1700.944,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,moving,EVENT,,STOP,NO
1712.219,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,moving,EVENT,,START,NO
1714.72,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,moving,EVENT,,STOP,NO
1715.715,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,standing on one leg,BEHAVIOR,,START,NO
1723.721,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,standing on one leg,BEHAVIOR,,STOP,NO
1723.992,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,head whips,EVENT,,START,NO
1725.491,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,head whips,EVENT,,STOP,NO
1727.238,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,music,MUSIC,,START,YES
1729.996,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,vocalization,EVENT,,START,YES
1730.995,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,vocalization,EVENT,,STOP,YES
