N_Day,Day,Session,File name,Date/Time Start,Duration of Video,Activity,Event/behavior,Focus,Visitors?,Music?,Start,End,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,B,EVENT,,NO,YES,0:08:56,0:08:57,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,B,EVENT,,NO,YES,0:08:57,0:08:58,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,B,EVENT,,NO,NO,0:09:01,0:09:02,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,M,EVENT,,NO,NO,0:09:12,0:09:15,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,JB_NB,BEHAVIOR,,NO,YES,0:09:15,0:09:16,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,U,MUSIC,,NO,YES,0:09:15,0:09:27,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,H,EVENT,,NO,YES,0:09:18,0:09:20,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,B,EVENT,,NO,YES,0:09:20,0:09:26,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,M,EVENT,,NO,NO,0:10:03,0:10:14,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,NB,BEHAVIOR,,NO,NO,0:10:24,0:10:36,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,M,EVENT,,NO,NO,0:10:56,0:10:59,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,L,BEHAVIOR,,NO,NO,0:10:59,0:11:03,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,L,BEHAVIOR,,NO,NO,0:11:06,0:11:41,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,M,EVENT,,NO,NO,0:12:12,0:12:18,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,M,EVENT,,NO,NO,0:12:25,0:12:36,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,M,EVENT,,NO,NO,0:12:51,0:12:59,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,N,EVENT,,NO,NO,0:13:16,0:13:17,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,M,EVENT,,NO,NO,0:13:45,0:13:50,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,NB,BEHAVIOR,,NO,NO,0:13:50,0:14:27,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,NB,BEHAVIOR,,NO,NO,0:14:32,0:14:41,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,E,BEHAVIOR,,NO,NO,0:14:41,0:14:52,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,L,BEHAVIOR,,NO,NO,0:15:04,0:15:22,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,M,EVENT,,NO,NO,0:15:22,0:15:34,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,M,EVENT,,NO,NO,0:15:41,0:15:49,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,L,BEHAVIOR,,NO,NO,0:15:49,0:16:13,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,M,EVENT,,NO,NO,0:16:56,0:17:02,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,JB_NB,BEHAVIOR,,NO,YES,0:17:02,0:17:28,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,U,MUSIC,,NO,YES,0:17:02,0:17:37,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,L,BEHAVIOR,,NO,YES,0:17:28,0:18:25,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,L,BEHAVIOR,,NO,NO,0:18:28,0:18:41,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,M,EVENT,,NO,NO,0:18:41,0:18:54,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,M,EVENT,,NO,NO,0:19:01,0:19:06,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,S,BEHAVIOR,,NO,NO,0:19:07,0:19:08,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,S,BEHAVIOR,,NO,NO,0:19:21,0:19:23,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,L,BEHAVIOR,,NO,NO,0:19:52,0:21:22,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,M,EVENT,,NO,NO,0:21:29,0:21:33,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,M,EVENT,,NO,NO,0:21:50,0:21:57,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,B,EVENT,,NO,NO,0:21:57,0:22:00,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,B,EVENT,,NO,NO,0:22:01,0:22:11,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,B,EVENT,,NO,NO,0:22:12,0:22:15,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,B,EVENT,,NO,NO,0:22:31,0:22:33,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,M,EVENT,,NO,NO,0:22:38,0:22:41,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,M,EVENT,,NO,NO,0:22:46,0:22:49,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,JB_NB,BEHAVIOR,,NO,YES,0:22:49,0:22:51,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,U,MUSIC,,NO,YES,0:22:49,0:22:59,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,L,BEHAVIOR,,NO,YES,0:22:51,0:23:05,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,M,EVENT,,NO,NO,0:23:08,0:23:14,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,B,EVENT,,NO,NO,0:23:15,0:23:16,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,B,EVENT,,NO,NO,0:23:20,0:23:26,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,B,EVENT,,NO,NO,0:23:29,0:23:30,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,B,EVENT,,NO,NO,0:23:33,0:23:34,,,,,,,,,,,,,,,,
